,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,New England Patriots 2015,12,4,0,465,315,7,1,0,5,3,0,4,2,0,9,3,0,3,1,0,2,3,0
1,New York Jets 2015,10,6,0,387,314,6,2,0,4,4,0,3,3,0,7,5,0,3,1,0,4,1,0
2,Buffalo Bills 2015,8,8,0,379,359,5,3,0,3,5,0,4,2,0,7,5,0,1,3,0,3,2,0
3,Miami Dolphins 2015,6,10,0,310,389,3,5,0,3,5,0,1,5,0,4,8,0,2,2,0,2,3,0
4,Cincinnati Bengals 2015,12,4,0,419,279,6,2,0,6,2,0,5,1,0,9,3,0,3,1,0,3,2,0
5,Pittsburgh Steelers 2015,10,6,0,423,319,6,2,0,4,4,0,3,3,0,7,5,0,3,1,0,4,1,0
6,Baltimore Ravens 2015,5,11,0,328,401,3,5,0,2,6,0,3,3,0,4,8,0,1,3,0,1,4,0
7,Cleveland Browns 2015,3,13,0,278,432,2,6,0,1,7,0,1,5,0,2,10,0,1,3,0,1,4,0
8,Houston Texans 2015,9,7,0,339,313,5,3,0,4,4,0,5,1,0,7,5,0,2,2,0,3,2,0
9,Indianapolis Colts 2015,8,8,0,333,408,4,4,0,4,4,0,4,2,0,6,6,0,2,2,0,2,3,0
10,Jacksonville Jaguars 2015,5,11,0,376,448,4,4,0,1,7,0,2,4,0,5,7,0,0,4,0,1,4,0
11,Tennessee Titans 2015,3,13,0,299,423,1,7,0,2,6,0,1,5,0,1,11,0,2,2,0,1,4,0
12,Denver Broncos 2015,12,4,0,355,296,6,2,0,6,2,0,4,2,0,8,4,0,4,0,0,3,2,0
13,Kansas City Chiefs 2015,11,5,0,405,287,6,2,0,5,3,0,5,1,0,10,2,0,1,3,0,5,0,0
14,Las Vegas Raiders 2015,7,9,0,359,399,3,5,0,4,4,0,3,3,0,7,5,0,0,4,0,2,3,0
15,Los Angeles Chargers 2015,4,12,0,320,398,3,5,0,1,7,0,0,6,0,3,9,0,1,3,0,1,4,0
16,Washington Commanders 2015,9,7,0,388,379,6,2,0,3,5,0,4,2,0,8,4,0,1,3,0,4,1,0
17,Philadelphia Eagles 2015,7,9,0,377,430,3,5,0,4,4,0,3,3,0,4,8,0,3,1,0,3,2,0
18,New York Giants 2015,6,10,0,420,442,3,5,0,3,5,0,2,4,0,4,8,0,2,2,0,1,4,0
19,Dallas Cowboys 2015,4,12,0,275,374,1,7,0,3,5,0,3,3,0,3,9,0,1,3,0,1,4,0
20,Minnesota Vikings 2015,11,5,0,365,302,6,2,0,5,3,0,5,1,0,8,4,0,3,1,0,3,2,0
21,Green Bay Packers 2015,10,6,0,368,323,5,3,0,5,3,0,3,3,0,7,5,0,3,1,0,3,2,0
22,Detroit Lions 2015,7,9,0,358,400,4,4,0,3,5,0,3,3,0,6,6,0,1,3,0,3,2,0
23,Chicago Bears 2015,6,10,0,335,397,1,7,0,5,3,0,1,5,0,3,9,0,3,1,0,1,4,0
24,Carolina Panthers 2015,15,1,0,500,308,8,0,0,7,1,0,5,1,0,11,1,0,4,0,0,4,1,0
25,Atlanta Falcons 2015,8,8,0,339,345,4,4,0,4,4,0,1,5,0,5,7,0,3,1,0,2,3,0
26,New Orleans Saints 2015,7,9,0,408,476,4,4,0,3,5,0,3,3,0,5,7,0,2,2,0,3,2,0
27,Tampa Bay Buccaneers 2015,6,10,0,342,417,3,5,0,3,5,0,3,3,0,5,7,0,1,3,0,1,4,0
28,Arizona Cardinals 2015,13,3,0,489,313,6,2,0,7,1,0,4,2,0,10,2,0,3,1,0,4,1,0
29,Seattle Seahawks 2015,10,6,0,423,277,5,3,0,5,3,0,3,3,0,7,5,0,3,1,0,4,1,0
30,Los Angeles Rams 2015,7,9,0,280,330,5,3,0,2,6,0,4,2,0,6,6,0,1,3,0,3,2,0
31,San Francisco 49ers 2015,5,11,0,238,387,4,4,0,1,7,0,1,5,0,4,8,0,1,3,0,2,3,0
