,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,Buffalo Bills 2020,13,3,0,501,375,7,1,0,6,2,0,6,0,0,10,2,0,3,1,0,5,0,0
1,Miami Dolphins 2020,10,6,0,404,338,5,3,0,5,3,0,3,3,0,7,5,0,3,1,0,3,2,0
2,New England Patriots 2020,7,9,0,326,353,5,3,0,2,6,0,3,3,0,6,6,0,1,3,0,2,3,0
3,New York Jets 2020,2,14,0,243,457,1,7,0,1,7,0,0,6,0,1,11,0,1,3,0,2,3,0
4,Pittsburgh Steelers 2020,12,4,0,416,312,7,1,0,5,3,0,4,2,0,9,3,0,3,1,0,1,4,0
5,Baltimore Ravens 2020,11,5,0,468,303,5,3,0,6,2,0,4,2,0,7,5,0,4,0,0,5,0,0
6,Cleveland Browns 2020,11,5,0,408,419,6,2,0,5,3,0,3,3,0,7,5,0,4,0,0,3,2,0
7,Cincinnati Bengals 2020,4,11,1,311,424,3,5,0,1,6,1,1,5,0,4,8,0,0,3,1,2,3,0
8,Tennessee Titans 2020,11,5,0,491,439,5,3,0,6,2,0,5,1,0,8,4,0,3,1,0,3,2,0
9,Indianapolis Colts 2020,11,5,0,451,362,6,2,0,5,3,0,4,2,0,7,5,0,4,0,0,4,1,0
10,Houston Texans 2020,4,12,0,384,464,2,6,0,2,6,0,2,4,0,3,9,0,1,3,0,0,5,0
11,Jacksonville Jaguars 2020,1,15,0,306,492,1,7,0,0,8,0,1,5,0,1,11,0,0,4,0,0,5,0
12,Kansas City Chiefs 2020,14,2,0,473,362,6,2,0,8,0,0,4,2,0,10,2,0,4,0,0,4,1,0
13,Las Vegas Raiders 2020,8,8,0,434,478,2,6,0,6,2,0,4,2,0,6,6,0,2,2,0,2,3,0
14,Los Angeles Chargers 2020,7,9,0,384,426,4,4,0,3,5,0,3,3,0,6,6,0,1,3,0,4,1,0
15,Denver Broncos 2020,5,11,0,323,446,2,6,0,3,5,0,1,5,0,4,8,0,1,3,0,1,4,0
16,Washington Commanders 2020,7,9,0,335,329,3,5,0,4,4,0,4,2,0,5,7,0,2,2,0,3,2,0
17,New York Giants 2020,6,10,0,280,357,3,5,0,3,5,0,4,2,0,5,7,0,1,3,0,2,3,0
18,Dallas Cowboys 2020,6,10,0,395,473,4,4,0,2,6,0,2,4,0,5,7,0,1,3,0,3,2,0
19,Philadelphia Eagles 2020,4,11,1,334,418,3,4,1,1,7,0,2,4,0,4,8,0,0,3,1,1,4,0
20,Green Bay Packers 2020,13,3,0,509,369,7,1,0,6,2,0,5,1,0,10,2,0,3,1,0,5,0,0
21,Chicago Bears 2020,8,8,0,372,370,3,5,0,5,3,0,2,4,0,6,6,0,2,2,0,3,2,0
22,Minnesota Vikings 2020,7,9,0,430,475,3,5,0,4,4,0,4,2,0,5,7,0,2,2,0,2,3,0
23,Detroit Lions 2020,5,11,0,377,519,1,7,0,4,4,0,1,5,0,4,8,0,1,3,0,1,4,0
24,New Orleans Saints 2020,12,4,0,482,337,6,2,0,6,2,0,6,0,0,10,2,0,2,2,0,3,2,0
25,Tampa Bay Buccaneers 2020,11,5,0,492,355,5,3,0,6,2,0,4,2,0,8,4,0,3,1,0,4,1,0
26,Carolina Panthers 2020,5,11,0,350,402,2,6,0,3,5,0,1,5,0,4,8,0,1,3,0,1,4,0
27,Atlanta Falcons 2020,4,12,0,396,414,2,6,0,2,6,0,1,5,0,2,10,0,2,2,0,0,5,0
28,Seattle Seahawks 2020,12,4,0,459,371,7,1,0,5,3,0,4,2,0,9,3,0,3,1,0,4,1,0
29,Los Angeles Rams 2020,10,6,0,372,296,6,2,0,4,4,0,3,3,0,9,3,0,1,3,0,3,2,0
30,Arizona Cardinals 2020,8,8,0,410,367,4,4,0,4,4,0,2,4,0,6,6,0,2,2,0,2,3,0
31,San Francisco 49ers 2020,6,10,0,376,390,1,7,0,5,3,0,3,3,0,4,8,0,2,2,0,1,4,0
