,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,New England Patriots 2012,12,4,0,557,331,6,2,0,6,2,0,6,0,0,11,1,0,1,3,0,4,1,0
1,Miami Dolphins 2012,7,9,0,288,317,5,3,0,2,6,0,2,4,0,5,7,0,2,2,0,2,3,0
2,New York Jets 2012,6,10,0,281,375,3,5,0,3,5,0,2,4,0,4,8,0,2,2,0,2,3,0
3,Buffalo Bills 2012,6,10,0,344,435,4,4,0,2,6,0,2,4,0,5,7,0,1,3,0,2,3,0
4,Baltimore Ravens 2012,10,6,0,398,344,6,2,0,4,4,0,4,2,0,8,4,0,2,2,0,1,4,0
5,Cincinnati Bengals 2012,10,6,0,391,320,4,4,0,6,2,0,3,3,0,7,5,0,3,1,0,4,1,0
6,Pittsburgh Steelers 2012,8,8,0,336,314,5,3,0,3,5,0,3,3,0,5,7,0,3,1,0,2,3,0
7,Cleveland Browns 2012,5,11,0,302,368,4,4,0,1,7,0,2,4,0,5,7,0,0,4,0,2,3,0
8,Houston Texans 2012,12,4,0,416,331,6,2,0,6,2,0,5,1,0,10,2,0,2,2,0,2,3,0
9,Indianapolis Colts 2012,11,5,0,357,387,7,1,0,4,4,0,4,2,0,8,4,0,3,1,0,4,1,0
10,Tennessee Titans 2012,6,10,0,330,471,4,4,0,2,6,0,1,5,0,5,7,0,1,3,0,2,3,0
11,Jacksonville Jaguars 2012,2,14,0,255,444,1,7,0,1,7,0,2,4,0,2,10,0,0,4,0,0,5,0
12,Denver Broncos 2012,13,3,0,481,289,7,1,0,6,2,0,6,0,0,10,2,0,3,1,0,5,0,0
13,Los Angeles Chargers 2012,7,9,0,350,350,3,5,0,4,4,0,4,2,0,7,5,0,0,4,0,3,2,0
14,Las Vegas Raiders 2012,4,12,0,290,443,3,5,0,1,7,0,2,4,0,4,8,0,0,4,0,1,4,0
15,Kansas City Chiefs 2012,2,14,0,211,425,1,7,0,1,7,0,0,6,0,0,12,0,2,2,0,1,4,0
16,Washington Commanders 2012,10,6,0,436,388,5,3,0,5,3,0,5,1,0,8,4,0,2,2,0,5,0,0
17,New York Giants 2012,9,7,0,429,344,6,2,0,3,5,0,3,3,0,8,4,0,1,3,0,2,3,0
18,Dallas Cowboys 2012,8,8,0,376,400,4,4,0,4,4,0,3,3,0,5,7,0,3,1,0,3,2,0
19,Philadelphia Eagles 2012,4,12,0,280,444,2,6,0,2,6,0,1,5,0,2,10,0,2,2,0,1,4,0
20,Green Bay Packers 2012,11,5,0,433,336,7,1,0,4,4,0,5,1,0,8,4,0,3,1,0,4,1,0
21,Minnesota Vikings 2012,10,6,0,379,348,7,1,0,3,5,0,4,2,0,7,5,0,3,1,0,4,1,0
22,Chicago Bears 2012,10,6,0,375,277,5,3,0,5,3,0,3,3,0,7,5,0,3,1,0,2,3,0
23,Detroit Lions 2012,4,12,0,372,437,2,6,0,2,6,0,0,6,0,3,9,0,1,3,0,0,5,0
24,Atlanta Falcons 2012,13,3,0,419,299,7,1,0,6,2,0,3,3,0,9,3,0,4,0,0,3,2,0
25,Carolina Panthers 2012,7,9,0,357,363,3,5,0,4,4,0,3,3,0,5,7,0,2,2,0,4,1,0
26,New Orleans Saints 2012,7,9,0,461,454,4,4,0,3,5,0,3,3,0,5,7,0,2,2,0,2,3,0
27,Tampa Bay Buccaneers 2012,7,9,0,389,394,3,5,0,4,4,0,3,3,0,4,8,0,3,1,0,1,4,0
28,San Francisco 49ers 2012,11,4,1,397,273,6,1,1,5,3,0,3,2,1,7,4,1,4,0,0,3,2,0
29,Seattle Seahawks 2012,11,5,0,412,245,8,0,0,3,5,0,3,3,0,8,4,0,3,1,0,5,0,0
30,Los Angeles Rams 2012,7,8,1,299,348,4,4,0,3,4,1,4,1,1,6,5,1,1,3,0,3,2,0
31,Arizona Cardinals 2012,5,11,0,250,357,4,4,0,1,7,0,1,5,0,3,9,0,2,2,0,1,4,0
