,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,Buffalo Bills 2021,11,6,0,483,289,6,3,0,5,3,0,5,1,0,7,5,0,4,1,0,4,1,0
1,New England Patriots 2021,10,7,0,462,303,4,5,0,6,2,0,3,3,0,8,4,0,2,3,0,2,3,0
2,Miami Dolphins 2021,9,8,0,341,373,6,3,0,3,5,0,4,2,0,6,6,0,3,2,0,4,1,0
3,New York Jets 2021,4,13,0,310,504,3,6,0,1,7,0,0,6,0,4,8,0,0,5,0,1,4,0
4,Cincinnati Bengals 2021,10,7,0,460,376,5,4,0,5,3,0,4,2,0,8,4,0,2,3,0,3,2,0
5,Pittsburgh Steelers 2021,9,7,1,343,398,6,2,1,3,5,0,4,2,0,7,5,0,2,2,1,3,2,0
6,Cleveland Browns 2021,8,9,0,349,371,6,3,0,2,6,0,3,3,0,5,7,0,3,2,0,2,3,0
7,Baltimore Ravens 2021,8,9,0,387,392,5,4,0,3,5,0,1,5,0,5,7,0,3,2,0,0,5,0
8,Tennessee Titans 2021,12,5,0,419,354,7,2,0,5,3,0,5,1,0,8,4,0,4,1,0,4,1,0
9,Indianapolis Colts 2021,9,8,0,451,365,4,5,0,5,3,0,3,3,0,7,5,0,2,3,0,3,2,0
10,Houston Texans 2021,4,13,0,280,452,2,7,0,2,6,0,3,3,0,4,8,0,0,5,0,2,3,0
11,Jacksonville Jaguars 2021,3,14,0,253,457,3,6,0,0,8,0,1,5,0,3,9,0,0,5,0,1,4,0
12,Kansas City Chiefs 2021,12,5,0,480,364,7,2,0,5,3,0,5,1,0,7,5,0,5,0,0,4,1,0
13,Las Vegas Raiders 2021,10,7,0,374,439,5,4,0,5,3,0,3,3,0,8,4,0,2,3,0,4,1,0
14,Los Angeles Chargers 2021,9,8,0,474,459,5,4,0,4,4,0,3,3,0,6,6,0,3,2,0,2,3,0
15,Denver Broncos 2021,7,10,0,335,322,4,5,0,3,5,0,1,5,0,3,9,0,4,1,0,1,4,0
16,Dallas Cowboys 2021,12,5,0,530,358,5,3,0,7,2,0,6,0,0,10,2,0,2,3,0,4,1,0
17,Philadelphia Eagles 2021,9,8,0,444,385,3,5,0,6,3,0,3,3,0,7,5,0,2,3,0,4,1,0
18,Washington Commanders 2021,7,10,0,335,434,3,5,0,4,5,0,2,4,0,6,6,0,1,4,0,1,4,0
19,New York Giants 2021,4,13,0,258,416,3,5,0,1,8,0,1,5,0,3,9,0,1,4,0,0,5,0
20,Green Bay Packers 2021,13,4,0,450,371,8,0,0,5,4,0,4,2,0,9,3,0,4,1,0,4,1,0
21,Minnesota Vikings 2021,8,9,0,425,426,5,3,0,3,6,0,4,2,0,6,6,0,2,3,0,3,2,0
22,Chicago Bears 2021,6,11,0,311,407,3,5,0,3,6,0,2,4,0,4,8,0,2,3,0,2,3,0
23,Detroit Lions 2021,3,13,1,325,467,3,5,0,0,8,1,2,4,0,3,9,0,0,4,1,2,3,0
24,Tampa Bay Buccaneers 2021,13,4,0,511,353,7,1,0,6,3,0,4,2,0,8,4,0,5,0,0,4,1,0
25,New Orleans Saints 2021,9,8,0,364,335,3,5,0,6,3,0,4,2,0,7,5,0,2,3,0,4,1,0
26,Atlanta Falcons 2021,7,10,0,313,459,2,6,0,5,4,0,2,4,0,4,8,0,3,2,0,2,3,0
27,Carolina Panthers 2021,5,12,0,304,404,2,6,0,3,6,0,2,4,0,3,9,0,2,3,0,0,5,0
28,Los Angeles Rams 2021,12,5,0,460,372,5,3,0,7,2,0,3,3,0,8,4,0,4,1,0,4,1,0
29,Arizona Cardinals 2021,11,6,0,449,366,3,5,0,8,1,0,4,2,0,7,5,0,4,1,0,1,4,0
30,San Francisco 49ers 2021,10,7,0,427,365,4,4,0,6,3,0,2,4,0,7,5,0,3,2,0,4,1,0
31,Seattle Seahawks 2021,7,10,0,395,366,3,5,0,4,5,0,3,3,0,4,8,0,3,2,0,3,2,0
