,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,New England Patriots 2018,11,5,0,436,325,8,0,0,3,5,0,5,1,0,8,4,0,3,1,0,3,2,0
1,Miami Dolphins 2018,7,9,0,319,433,6,2,0,1,7,0,4,2,0,6,6,0,1,3,0,2,3,0
2,Buffalo Bills 2018,6,10,0,269,374,4,4,0,2,6,0,2,4,0,4,8,0,2,2,0,2,3,0
3,New York Jets 2018,4,12,0,333,441,2,6,0,2,6,0,1,5,0,3,9,0,1,3,0,1,4,0
4,Baltimore Ravens 2018,10,6,0,389,287,6,2,0,4,4,0,3,3,0,8,4,0,2,2,0,4,1,0
5,Pittsburgh Steelers 2018,9,6,1,428,360,5,3,0,4,3,1,4,1,1,6,5,1,3,1,0,2,3,0
6,Cleveland Browns 2018,7,8,1,359,392,5,2,1,2,6,0,3,2,1,5,6,1,2,2,0,3,2,0
7,Cincinnati Bengals 2018,6,10,0,368,455,4,4,0,2,6,0,1,5,0,4,8,0,2,2,0,1,4,0
8,Houston Texans 2018,11,5,0,402,316,6,2,0,5,3,0,4,2,0,9,3,0,2,2,0,3,2,0
9,Indianapolis Colts 2018,10,6,0,433,344,6,2,0,4,4,0,4,2,0,7,5,0,3,1,0,4,1,0
10,Tennessee Titans 2018,9,7,0,310,303,6,2,0,3,5,0,3,3,0,5,7,0,4,0,0,4,1,0
11,Jacksonville Jaguars 2018,5,11,0,245,316,3,5,0,2,6,0,1,5,0,4,8,0,1,3,0,2,3,0
12,Kansas City Chiefs 2018,12,4,0,565,421,7,1,0,5,3,0,5,1,0,10,2,0,2,2,0,3,2,0
13,Los Angeles Chargers 2018,12,4,0,428,329,5,3,0,7,1,0,4,2,0,9,3,0,3,1,0,4,1,0
14,Denver Broncos 2018,6,10,0,329,349,3,5,0,3,5,0,2,4,0,4,8,0,2,2,0,1,4,0
15,Las Vegas Raiders 2018,4,12,0,290,467,3,5,0,1,7,0,1,5,0,3,9,0,1,3,0,2,3,0
16,Dallas Cowboys 2018,10,6,0,339,324,7,1,0,3,5,0,5,1,0,9,3,0,1,3,0,4,1,0
17,Philadelphia Eagles 2018,9,7,0,367,348,5,3,0,4,4,0,4,2,0,6,6,0,3,1,0,4,1,0
18,Washington Commanders 2018,7,9,0,281,359,3,5,0,4,4,0,2,4,0,6,6,0,1,3,0,1,4,0
19,New York Giants 2018,5,11,0,369,412,2,6,0,3,5,0,1,5,0,4,8,0,1,3,0,2,3,0
20,Chicago Bears 2018,12,4,0,421,283,7,1,0,5,3,0,5,1,0,10,2,0,2,2,0,4,1,0
21,Minnesota Vikings 2018,8,7,1,360,341,5,3,0,3,4,1,3,2,1,6,5,1,2,2,0,2,3,0
22,Green Bay Packers 2018,6,9,1,376,400,5,2,1,1,7,0,1,4,1,3,8,1,3,1,0,2,3,0
23,Detroit Lions 2018,6,10,0,324,360,3,5,0,3,5,0,2,4,0,4,8,0,2,2,0,2,3,0
24,New Orleans Saints 2018,13,3,0,504,353,6,2,0,7,1,0,4,2,0,9,3,0,4,0,0,3,2,0
25,Atlanta Falcons 2018,7,9,0,414,423,4,4,0,3,5,0,4,2,0,7,5,0,0,4,0,3,2,0
26,Carolina Panthers 2018,7,9,0,376,382,5,3,0,2,6,0,2,4,0,5,7,0,2,2,0,1,4,0
27,Tampa Bay Buccaneers 2018,5,11,0,396,464,4,4,0,1,7,0,2,4,0,4,8,0,1,3,0,1,4,0
28,Los Angeles Rams 2018,13,3,0,527,384,7,1,0,6,2,0,6,0,0,9,3,0,4,0,0,3,2,0
29,Seattle Seahawks 2018,10,6,0,428,347,6,2,0,4,4,0,3,3,0,8,4,0,2,2,0,4,1,0
30,San Francisco 49ers 2018,4,12,0,342,435,4,4,0,0,8,0,1,5,0,2,10,0,2,2,0,2,3,0
31,Arizona Cardinals 2018,3,13,0,225,425,1,7,0,2,6,0,2,4,0,3,9,0,0,4,0,1,4,0
