,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,New England Patriots 2013,12,4,0,444,338,8,0,0,4,4,0,4,2,0,9,3,0,3,1,0,4,1,0
1,New York Jets 2013,8,8,0,290,387,6,2,0,2,6,0,3,3,0,5,7,0,3,1,0,3,2,0
2,Miami Dolphins 2013,8,8,0,317,335,4,4,0,4,4,0,2,4,0,7,5,0,1,3,0,3,2,0
3,Buffalo Bills 2013,6,10,0,339,388,4,4,0,2,6,0,3,3,0,5,7,0,1,3,0,2,3,0
4,Cincinnati Bengals 2013,11,5,0,430,305,8,0,0,3,5,0,3,3,0,8,4,0,3,1,0,4,1,0
5,Pittsburgh Steelers 2013,8,8,0,379,370,5,3,0,3,5,0,4,2,0,6,6,0,2,2,0,3,2,0
6,Baltimore Ravens 2013,8,8,0,320,352,6,2,0,2,6,0,3,3,0,6,6,0,2,2,0,3,2,0
7,Cleveland Browns 2013,4,12,0,308,406,3,5,0,1,7,0,2,4,0,3,9,0,1,3,0,0,5,0
8,Indianapolis Colts 2013,11,5,0,391,336,6,2,0,5,3,0,6,0,0,9,3,0,2,2,0,4,1,0
9,Tennessee Titans 2013,7,9,0,362,381,3,5,0,4,4,0,2,4,0,6,6,0,1,3,0,2,3,0
10,Jacksonville Jaguars 2013,4,12,0,247,449,1,7,0,3,5,0,3,3,0,4,8,0,0,4,0,2,3,0
11,Houston Texans 2013,2,14,0,276,428,1,7,0,1,7,0,1,5,0,2,10,0,0,4,0,0,5,0
12,Denver Broncos 2013,13,3,0,606,399,7,1,0,6,2,0,5,1,0,9,3,0,4,0,0,4,1,0
13,Kansas City Chiefs 2013,11,5,0,430,305,5,3,0,6,2,0,2,4,0,7,5,0,4,0,0,2,3,0
14,Los Angeles Chargers 2013,9,7,0,396,348,5,3,0,4,4,0,4,2,0,6,6,0,3,1,0,4,1,0
15,Las Vegas Raiders 2013,4,12,0,322,453,3,5,0,1,7,0,1,5,0,4,8,0,0,4,0,0,5,0
16,Philadelphia Eagles 2013,10,6,0,442,382,4,4,0,6,2,0,4,2,0,9,3,0,1,3,0,4,1,0
17,Dallas Cowboys 2013,8,8,0,439,432,5,3,0,3,5,0,5,1,0,7,5,0,1,3,0,2,3,0
18,New York Giants 2013,7,9,0,294,383,4,4,0,3,5,0,3,3,0,6,6,0,1,3,0,3,2,0
19,Washington Commanders 2013,3,13,0,334,478,2,6,0,1,7,0,0,6,0,1,11,0,2,2,0,0,5,0
20,Green Bay Packers 2013,8,7,1,417,428,4,3,1,4,4,0,3,2,1,6,5,1,2,2,0,3,2,0
21,Chicago Bears 2013,8,8,0,445,478,5,3,0,3,5,0,2,4,0,4,8,0,4,0,0,2,3,0
22,Detroit Lions 2013,7,9,0,395,376,4,4,0,3,5,0,4,2,0,6,6,0,1,3,0,1,4,0
23,Minnesota Vikings 2013,5,10,1,391,480,5,3,0,0,7,1,2,3,1,4,7,1,1,3,0,3,2,0
24,Carolina Panthers 2013,12,4,0,366,241,7,1,0,5,3,0,5,1,0,9,3,0,3,1,0,4,1,0
25,New Orleans Saints 2013,11,5,0,414,304,8,0,0,3,5,0,5,1,0,9,3,0,2,2,0,2,3,0
26,Atlanta Falcons 2013,4,12,0,353,443,3,5,0,1,7,0,1,5,0,3,9,0,1,3,0,2,3,0
27,Tampa Bay Buccaneers 2013,4,12,0,288,389,3,5,0,1,7,0,1,5,0,2,10,0,2,2,0,1,4,0
28,Seattle Seahawks 2013,13,3,0,417,231,7,1,0,6,2,0,4,2,0,10,2,0,3,1,0,3,2,0
29,San Francisco 49ers 2013,12,4,0,406,272,6,2,0,6,2,0,5,1,0,9,3,0,3,1,0,5,0,0
30,Arizona Cardinals 2013,10,6,0,379,324,6,2,0,4,4,0,2,4,0,6,6,0,4,0,0,3,2,0
31,Los Angeles Rams 2013,7,9,0,348,364,5,3,0,2,6,0,1,5,0,4,8,0,3,1,0,2,3,0
