,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,New England Patriots 2011,13,3,0,513,342,7,1,0,6,2,0,5,1,0,10,2,0,3,1,0,5,0,0
1,New York Jets 2011,8,8,0,377,363,6,2,0,2,6,0,3,3,0,6,6,0,2,2,0,2,3,0
2,Miami Dolphins 2011,6,10,0,329,313,4,4,0,2,6,0,3,3,0,5,7,0,1,3,0,3,2,0
3,Buffalo Bills 2011,6,10,0,372,434,5,3,0,1,7,0,1,5,0,4,8,0,2,2,0,1,4,0
4,Baltimore Ravens 2011,12,4,0,378,266,8,0,0,4,4,0,6,0,0,9,3,0,3,1,0,4,1,0
5,Pittsburgh Steelers 2011,12,4,0,325,227,7,1,0,5,3,0,4,2,0,9,3,0,3,1,0,4,1,0
6,Cincinnati Bengals 2011,9,7,0,344,323,4,4,0,5,3,0,2,4,0,6,6,0,3,1,0,2,3,0
7,Cleveland Browns 2011,4,12,0,218,307,3,5,0,1,7,0,0,6,0,3,9,0,1,3,0,0,5,0
8,Houston Texans 2011,10,6,0,381,278,5,3,0,5,3,0,4,2,0,8,4,0,2,2,0,2,3,0
9,Tennessee Titans 2011,9,7,0,325,317,5,3,0,4,4,0,3,3,0,7,5,0,2,2,0,3,2,0
10,Jacksonville Jaguars 2011,5,11,0,243,329,4,4,0,1,7,0,3,3,0,4,8,0,1,3,0,2,3,0
11,Indianapolis Colts 2011,2,14,0,243,430,2,6,0,0,8,0,2,4,0,2,10,0,0,4,0,2,3,0
12,Denver Broncos 2011,8,8,0,309,390,3,5,0,5,3,0,3,3,0,6,6,0,2,2,0,2,3,0
13,Los Angeles Chargers 2011,8,8,0,406,377,5,3,0,3,5,0,3,3,0,7,5,0,1,3,0,4,1,0
14,Las Vegas Raiders 2011,8,8,0,359,433,3,5,0,5,3,0,3,3,0,6,6,0,2,2,0,1,4,0
15,Kansas City Chiefs 2011,7,9,0,212,338,3,5,0,4,4,0,3,3,0,4,8,0,3,1,0,3,2,0
16,New York Giants 2011,9,7,0,394,400,4,4,0,5,3,0,3,3,0,5,7,0,4,0,0,3,2,0
17,Philadelphia Eagles 2011,8,8,0,396,328,3,5,0,5,3,0,5,1,0,6,6,0,2,2,0,4,1,0
18,Dallas Cowboys 2011,8,8,0,369,347,5,3,0,3,5,0,2,4,0,6,6,0,2,2,0,1,4,0
19,Washington Commanders 2011,5,11,0,288,367,2,6,0,3,5,0,2,4,0,5,7,0,0,4,0,1,4,0
20,Green Bay Packers 2011,15,1,0,560,359,8,0,0,7,1,0,6,0,0,12,0,0,3,1,0,4,1,0
21,Detroit Lions 2011,10,6,0,474,387,5,3,0,5,3,0,3,3,0,6,6,0,4,0,0,3,2,0
22,Chicago Bears 2011,8,8,0,353,341,5,3,0,3,5,0,3,3,0,7,5,0,1,3,0,1,4,0
23,Minnesota Vikings 2011,3,13,0,340,449,1,7,0,2,6,0,0,6,0,3,9,0,0,4,0,1,4,0
24,New Orleans Saints 2011,13,3,0,547,339,8,0,0,5,3,0,5,1,0,9,3,0,4,0,0,5,0,0
25,Atlanta Falcons 2011,10,6,0,402,350,6,2,0,4,4,0,3,3,0,7,5,0,3,1,0,3,2,0
26,Carolina Panthers 2011,6,10,0,406,429,3,5,0,3,5,0,2,4,0,3,9,0,3,1,0,3,2,0
27,Tampa Bay Buccaneers 2011,4,12,0,287,494,3,5,0,1,7,0,2,4,0,3,9,0,1,3,0,0,5,0
28,San Francisco 49ers 2011,13,3,0,380,229,7,1,0,6,2,0,5,1,0,10,2,0,3,1,0,4,1,0
29,Arizona Cardinals 2011,8,8,0,312,348,6,2,0,2,6,0,4,2,0,7,5,0,1,3,0,4,1,0
30,Seattle Seahawks 2011,7,9,0,321,315,4,4,0,3,5,0,3,3,0,6,6,0,1,3,0,3,2,0
31,Los Angeles Rams 2011,2,14,0,193,407,1,7,0,1,7,0,0,6,0,1,11,0,1,3,0,0,5,0
