,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,New England Patriots 2019,12,4,0,420,225,6,2,0,6,2,0,5,1,0,8,4,0,4,0,0,2,3,0
1,Buffalo Bills 2019,10,6,0,314,259,4,4,0,6,2,0,3,3,0,7,5,0,3,1,0,2,3,0
2,New York Jets 2019,7,9,0,276,359,5,3,0,2,6,0,2,4,0,4,8,0,3,1,0,3,2,0
3,Miami Dolphins 2019,5,11,0,306,494,3,5,0,2,6,0,2,4,0,4,8,0,1,3,0,3,2,0
4,Baltimore Ravens 2019,14,2,0,531,282,7,1,0,7,1,0,5,1,0,10,2,0,4,0,0,5,0,0
5,Pittsburgh Steelers 2019,8,8,0,289,303,5,3,0,3,5,0,3,3,0,6,6,0,2,2,0,2,3,0
6,Cleveland Browns 2019,6,10,0,335,393,4,4,0,2,6,0,3,3,0,6,6,0,0,4,0,1,4,0
7,Cincinnati Bengals 2019,2,14,0,279,420,2,6,0,0,8,0,1,5,0,2,10,0,0,4,0,2,3,0
8,Houston Texans 2019,10,6,0,378,385,5,3,0,5,3,0,4,2,0,8,4,0,2,2,0,3,2,0
9,Tennessee Titans 2019,9,7,0,402,331,4,4,0,5,3,0,3,3,0,7,5,0,2,2,0,3,2,0
10,Indianapolis Colts 2019,7,9,0,361,373,5,3,0,2,6,0,3,3,0,5,7,0,2,2,0,1,4,0
11,Jacksonville Jaguars 2019,6,10,0,300,397,3,5,0,3,5,0,2,4,0,6,6,0,0,4,0,2,3,0
12,Kansas City Chiefs 2019,12,4,0,451,308,5,3,0,7,1,0,6,0,0,9,3,0,3,1,0,5,0,0
13,Denver Broncos 2019,7,9,0,282,316,5,3,0,2,6,0,3,3,0,6,6,0,1,3,0,4,1,0
14,Las Vegas Raiders 2019,7,9,0,313,419,5,3,0,2,6,0,3,3,0,5,7,0,2,2,0,1,4,0
15,Los Angeles Chargers 2019,5,11,0,337,345,2,6,0,3,5,0,0,6,0,3,9,0,2,2,0,1,4,0
16,Philadelphia Eagles 2019,9,7,0,385,354,5,3,0,4,4,0,5,1,0,7,5,0,2,2,0,4,1,0
17,Dallas Cowboys 2019,8,8,0,434,321,5,3,0,3,5,0,5,1,0,7,5,0,1,3,0,2,3,0
18,New York Giants 2019,4,12,0,341,451,2,6,0,2,6,0,2,4,0,3,9,0,1,3,0,2,3,0
19,Washington Commanders 2019,3,13,0,266,435,1,7,0,2,6,0,0,6,0,2,10,0,1,3,0,1,4,0
20,Green Bay Packers 2019,13,3,0,376,313,7,1,0,6,2,0,6,0,0,10,2,0,3,1,0,5,0,0
21,Minnesota Vikings 2019,10,6,0,407,303,6,2,0,4,4,0,2,4,0,7,5,0,3,1,0,2,3,0
22,Chicago Bears 2019,8,8,0,280,298,4,4,0,4,4,0,4,2,0,7,5,0,1,3,0,3,2,0
23,Detroit Lions 2019,3,12,1,341,423,2,6,0,1,6,1,0,6,0,2,9,1,1,3,0,0,5,0
24,New Orleans Saints 2019,13,3,0,458,341,6,2,0,7,1,0,5,1,0,9,3,0,4,0,0,4,1,0
25,Atlanta Falcons 2019,7,9,0,381,399,3,5,0,4,4,0,4,2,0,6,6,0,1,3,0,4,1,0
26,Tampa Bay Buccaneers 2019,7,9,0,458,449,2,6,0,5,3,0,2,4,0,5,7,0,2,2,0,3,2,0
27,Carolina Panthers 2019,5,11,0,340,470,2,6,0,3,5,0,1,5,0,2,10,0,3,1,0,0,5,0
28,San Francisco 49ers 2019,13,3,0,479,310,6,2,0,7,1,0,5,1,0,10,2,0,3,1,0,3,2,0
29,Seattle Seahawks 2019,11,5,0,405,398,4,4,0,7,1,0,3,3,0,8,4,0,3,1,0,2,3,0
30,Los Angeles Rams 2019,9,7,0,394,364,5,3,0,4,4,0,3,3,0,7,5,0,2,2,0,3,2,0
31,Arizona Cardinals 2019,5,10,1,361,442,2,5,1,3,5,0,1,5,0,3,8,1,2,2,0,2,3,0
