,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,New England Patriots 2016,14,2,0,441,250,6,2,0,8,0,0,5,1,0,11,1,0,3,1,0,5,0,0
1,Miami Dolphins 2016,10,6,0,363,380,6,2,0,4,4,0,4,2,0,7,5,0,3,1,0,3,2,0
2,Buffalo Bills 2016,7,9,0,399,378,4,4,0,3,5,0,1,5,0,4,8,0,3,1,0,1,4,0
3,New York Jets 2016,5,11,0,275,409,2,6,0,3,5,0,2,4,0,4,8,0,1,3,0,2,3,0
4,Pittsburgh Steelers 2016,11,5,0,399,327,6,2,0,5,3,0,5,1,0,9,3,0,2,2,0,5,0,0
5,Baltimore Ravens 2016,8,8,0,343,321,6,2,0,2,6,0,4,2,0,7,5,0,1,3,0,2,3,0
6,Cincinnati Bengals 2016,6,9,1,325,315,4,3,1,2,6,0,3,3,0,5,7,0,1,2,1,3,2,0
7,Cleveland Browns 2016,1,15,0,264,452,1,7,0,0,8,0,0,6,0,1,11,0,0,4,0,1,4,0
8,Houston Texans 2016,9,7,0,279,328,7,1,0,2,6,0,5,1,0,7,5,0,2,2,0,3,2,0
9,Tennessee Titans 2016,9,7,0,381,378,5,3,0,4,4,0,2,4,0,6,6,0,3,1,0,4,1,0
10,Indianapolis Colts 2016,8,8,0,411,392,4,4,0,4,4,0,3,3,0,5,7,0,3,1,0,3,2,0
11,Jacksonville Jaguars 2016,3,13,0,318,400,2,6,0,1,7,0,2,4,0,2,10,0,1,3,0,1,4,0
12,Kansas City Chiefs 2016,12,4,0,389,311,6,2,0,6,2,0,6,0,0,9,3,0,3,1,0,4,1,0
13,Las Vegas Raiders 2016,12,4,0,416,385,6,2,0,6,2,0,3,3,0,9,3,0,3,1,0,3,2,0
14,Denver Broncos 2016,9,7,0,333,297,5,3,0,4,4,0,2,4,0,6,6,0,3,1,0,2,3,0
15,Los Angeles Chargers 2016,5,11,0,410,423,3,5,0,2,6,0,1,5,0,4,8,0,1,3,0,0,5,0
16,Dallas Cowboys 2016,13,3,0,421,306,7,1,0,6,2,0,3,3,0,9,3,0,4,0,0,3,2,0
17,New York Giants 2016,11,5,0,310,284,7,1,0,4,4,0,4,2,0,8,4,0,3,1,0,3,2,0
18,Washington Commanders 2016,8,7,1,396,383,4,4,0,4,3,1,3,3,0,6,6,0,2,1,1,2,3,0
19,Philadelphia Eagles 2016,7,9,0,367,331,6,2,0,1,7,0,2,4,0,5,7,0,2,2,0,2,3,0
20,Green Bay Packers 2016,10,6,0,432,388,6,2,0,4,4,0,5,1,0,8,4,0,2,2,0,5,0,0
21,Detroit Lions 2016,9,7,0,346,358,6,2,0,3,5,0,3,3,0,7,5,0,2,2,0,2,3,0
22,Minnesota Vikings 2016,8,8,0,327,307,5,3,0,3,5,0,2,4,0,5,7,0,3,1,0,2,3,0
23,Chicago Bears 2016,3,13,0,279,399,3,5,0,0,8,0,2,4,0,3,9,0,0,4,0,1,4,0
24,Atlanta Falcons 2016,11,5,0,540,406,5,3,0,6,2,0,5,1,0,9,3,0,2,2,0,4,1,0
25,Tampa Bay Buccaneers 2016,9,7,0,354,369,4,4,0,5,3,0,4,2,0,7,5,0,2,2,0,3,2,0
26,New Orleans Saints 2016,7,9,0,469,454,4,4,0,3,5,0,2,4,0,6,6,0,1,3,0,2,3,0
27,Carolina Panthers 2016,6,10,0,369,402,4,4,0,2,6,0,1,5,0,5,7,0,1,3,0,2,3,0
28,Seattle Seahawks 2016,10,5,1,354,292,7,1,0,3,4,1,3,2,1,6,5,1,4,0,0,3,2,0
29,Arizona Cardinals 2016,7,8,1,418,362,4,3,1,3,5,0,4,1,1,6,5,1,1,3,0,3,2,0
30,Los Angeles Rams 2016,4,12,0,224,394,1,7,0,3,5,0,2,4,0,3,9,0,1,3,0,0,5,0
31,San Francisco 49ers 2016,2,14,0,309,480,1,7,0,1,7,0,2,4,0,2,10,0,0,4,0,1,4,0
