,Names,Wins,Losses,Ties,Points For,Points Against,Home Wins,Home Losses,Home Ties,Road Wins,Road Losses,Road Ties,Division Wins,Division Losses,Division Ties,Conference Wins,Conference Losses,Conference Ties,Non-Conference Wins,Non-Conference Losses,Non-Conference Ties,Last Five Wins,Last Five Losses,Last Five Ties
0,New England Patriots 2017,13,3,0,458,296,6,2,0,7,1,0,5,1,0,10,2,0,3,1,0,4,1,0
1,Buffalo Bills 2017,9,7,0,302,359,6,2,0,3,5,0,3,3,0,7,5,0,2,2,0,3,2,0
2,Miami Dolphins 2017,6,10,0,281,393,4,4,0,2,6,0,2,4,0,5,7,0,1,3,0,2,3,0
3,New York Jets 2017,5,11,0,298,382,4,4,0,1,7,0,2,4,0,5,7,0,0,4,0,1,4,0
4,Pittsburgh Steelers 2017,13,3,0,406,308,6,2,0,7,1,0,6,0,0,10,2,0,3,1,0,4,1,0
5,Baltimore Ravens 2017,9,7,0,395,303,5,3,0,4,4,0,3,3,0,7,5,0,2,2,0,3,2,0
6,Cincinnati Bengals 2017,7,9,0,290,349,4,4,0,3,5,0,3,3,0,6,6,0,1,3,0,2,3,0
7,Cleveland Browns 2017,0,16,0,234,410,0,8,0,0,8,0,0,6,0,0,12,0,0,4,0,0,5,0
8,Jacksonville Jaguars 2017,10,6,0,417,268,6,2,0,4,4,0,4,2,0,9,3,0,1,3,0,3,2,0
9,Tennessee Titans 2017,9,7,0,334,356,6,2,0,3,5,0,5,1,0,8,4,0,1,3,0,2,3,0
10,Indianapolis Colts 2017,4,12,0,263,404,3,5,0,1,7,0,2,4,0,3,9,0,1,3,0,1,4,0
11,Houston Texans 2017,4,12,0,338,436,3,5,0,1,7,0,1,5,0,3,9,0,1,3,0,0,5,0
12,Kansas City Chiefs 2017,10,6,0,415,339,6,2,0,4,4,0,5,1,0,8,4,0,2,2,0,4,1,0
13,Los Angeles Chargers 2017,9,7,0,355,272,5,3,0,4,4,0,3,3,0,6,6,0,3,1,0,4,1,0
14,Las Vegas Raiders 2017,6,10,0,301,373,4,4,0,2,6,0,2,4,0,5,7,0,1,3,0,1,4,0
15,Denver Broncos 2017,5,11,0,289,382,4,4,0,1,7,0,2,4,0,4,8,0,1,3,0,2,3,0
16,Philadelphia Eagles 2017,13,3,0,457,295,7,1,0,6,2,0,5,1,0,10,2,0,3,1,0,3,2,0
17,Dallas Cowboys 2017,9,7,0,354,332,3,5,0,6,2,0,5,1,0,7,5,0,2,2,0,4,1,0
18,Washington Commanders 2017,7,9,0,342,388,5,3,0,2,6,0,1,5,0,5,7,0,2,2,0,2,3,0
19,New York Giants 2017,3,13,0,246,388,2,6,0,1,7,0,1,5,0,1,11,0,2,2,0,1,4,0
20,Minnesota Vikings 2017,13,3,0,382,252,7,1,0,6,2,0,5,1,0,10,2,0,3,1,0,4,1,0
21,Detroit Lions 2017,9,7,0,410,376,4,4,0,5,3,0,5,1,0,8,4,0,1,3,0,3,2,0
22,Green Bay Packers 2017,7,9,0,320,384,4,4,0,3,5,0,2,4,0,5,7,0,2,2,0,2,3,0
23,Chicago Bears 2017,5,11,0,264,320,3,5,0,2,6,0,0,6,0,1,11,0,4,0,0,2,3,0
24,New Orleans Saints 2017,11,5,0,448,326,7,1,0,4,4,0,4,2,0,8,4,0,3,1,0,3,2,0
25,Carolina Panthers 2017,11,5,0,363,327,6,2,0,5,3,0,3,3,0,7,5,0,4,0,0,3,2,0
26,Atlanta Falcons 2017,10,6,0,353,315,5,3,0,5,3,0,4,2,0,9,3,0,1,3,0,3,2,0
27,Tampa Bay Buccaneers 2017,5,11,0,335,382,4,4,0,1,7,0,1,5,0,3,9,0,2,2,0,1,4,0
28,Los Angeles Rams 2017,11,5,0,478,329,4,4,0,7,1,0,4,2,0,7,5,0,4,0,0,3,2,0
29,Seattle Seahawks 2017,9,7,0,366,332,4,4,0,5,3,0,4,2,0,7,5,0,2,2,0,2,3,0
30,Arizona Cardinals 2017,8,8,0,295,361,5,3,0,3,5,0,3,3,0,5,7,0,3,1,0,3,2,0
31,San Francisco 49ers 2017,6,10,0,331,383,3,5,0,3,5,0,1,5,0,3,9,0,3,1,0,5,0,0
